,TRADE_CODE,issue_date,stopped_date
485,RU000A10CT58,2025-09-23,
486,RU000A0ZYFM5,2017-11-14,
487,RU000A10DXL1,2025-12-22,
488,RU000A0ZYFN3,2017-11-14,
489,EUTR,2023-11-21,
490,IRAO,2009-12-01,
491,X5,2025-01-09,
492,LEAS,2024-03-29,
493,RU000A103KJ8,2021-08-20,
494,RU000A100W60,2019-10-03,
495,RU000A100DG5,2019-05-28,
496,RU000A108Y86,2024-07-09,
497,RU000A0JWVL2,2016-10-11,
498,RU000A10A7C4,2024-12-03,
499,RU000A0ZZBV2,2018-07-03,
500,RU000A10ASC6,2025-01-31,
501,MVID,2007-11-01,
502,MBNK,2024-04-26,
503,RU000A10BJ85,2025-04-30,
504,RU000A10EDW8,2026-02-27,
505,RU000A10AXH5,2025-02-18,
506,RU000A10ERV0,2026-04-07,
507,RU000A10B0A2,2025-03-05,
508,RU000A10DDU4,2025-11-12,
509,RU000A10A9Z1,2024-12-09,
510,RU000A10DPM5,2025-12-03,
511,RU000A10C618,2025-07-24,
512,RU000A10CL07,2025-08-27,
513,MAGN,2005-12-26,
514,MTLR,2008-12-26,
515,MTLRP,2011-04-21,
516,MTSS,2004-02-11,
517,RU000A10F124,2026-04-30,
518,RU000A0JWRV9,2016-09-02,
519,RU000A1078S8,2023-11-22,
520,RU000A10AF49,2024-12-20,
521,RU000A1083U4,2024-03-28,
522,RU000A1083W0,2024-03-28,
523,RU000A109312,2024-07-25,
524,RU000A10B1N3,2025-03-10,
525,RU000A10B5F0,2025-03-25,
526,RU000A10BGY3,2025-04-25,
527,RU000A100L55,2019-07-17,
528,RU000A10BP79,2025-05-27,
529,RU000A10BW62,2025-06-27,
530,RU000A10D459,2025-10-16,
531,RU000A101FH6,2020-02-20,
532,RU000A10DFN4,2025-11-17,
533,RU000A101NG2,2020-05-14,
534,RU000A10E8N5,2026-02-11,
535,RU000A101NH0,2020-05-14,
536,RU000A10ECH1,2026-02-24,
537,RU000A10ELF6,2026-03-18,
538,RU000A10ESM7,2026-04-10,
539,RU000A10EV78,2026-04-16,
540,RU000A104WJ1,2022-06-27,
541,RU000A10C2J8,2025-07-21,
542,RU000A10AV98,2025-02-14,
543,RU000A10CQ85,2025-09-12,
544,MOEX,2013-02-04,
545,LKOH,2003-08-20,
546,BELU,2007-11-20,
547,RU000A10CSQ2,2025-09-22,
548,RU000A10E7G1,2026-02-05,
549,RU000A104Y15,2022-07-12,
550,RU000A10EMG2,2026-03-20,
551,RU000A1099A2,2024-08-20,
552,NLMK,2006-04-06,
553,OZPH,2024-10-17,
554,PIKK,2007-06-13,
555,RU000A0ZZ1M2,2018-04-06,
556,RU000A0ZZ3S5,,
557,PLZL,2006-05-12,
558,RU000A107PA7,2024-01-26,
559,RU000A1054W1,2022-08-30,
560,RU000A105VC5,2023-02-17,
561,RU000A108L81,2024-06-04,
562,RU000A10EYG7,2026-04-27,
563,RTKM,2005-01-11,
564,RTKMP,2005-01-11,
565,RU000A0JWTN2,2016-09-22,
566,RU000A0JXPN8,2017-04-26,
567,RU000A0ZYG52,2017-11-21,
568,RU000A101FG8,2020-02-19,
569,RU000A0ZYYE3,2018-03-16,
570,RU000A100881,2019-04-03,
