,TRADE_CODE,issue_date,stopped_date
1454,RU000A10CSA6,2025-09-19,
1455,RU000A10EN78,2026-03-25,
1456,RU0005418747,2021-07-05,
1457,RU000A105XG2,2023-03-10,
1458,RU000A10A539,2024-11-25,
1459,RU000A10A0H8,2024-11-06,
1460,RU000A10DA58,2025-10-28,
1461,RU000A0ZYMN9,2017-12-28,
1462,RU000A0ZYMM1,2017-12-28,
1463,RU000A10CSR0,2025-09-22,
1464,RU000A10DTU0,2025-12-17,
1465,RU000A0JR4U9,2010-11-22,
1466,RU000A0JTFB2,2012-12-12,
1467,RU000A0JTB96,2012-11-20,
1468,RU000A10CRA8,2025-09-16,
1469,RU000A107R29,2024-02-06,
1470,RU000A10B925,2025-04-08,
1471,RU000A10AGA5,2024-12-25,
1472,RU000A106L67,2023-07-24,
1473,RU000A106UB7,2023-09-07,
1474,RU000A105GV6,2022-11-22,
1475,RU000A106862,2023-05-16,
1476,RU000A106SK2,2023-08-29,
1477,RU000A108G88,2024-05-22,
1478,RU000A109791,2024-08-09,
1479,RU000A109JX8,2024-09-17,
1480,RU000A10EFW3,2026-03-05,
1481,RU000A109S83,2024-10-11,
1482,RU000A10AA02,2024-12-09,
1483,RU000A10ARS4,2025-01-30,
1484,RU000A10B396,2025-03-17,
1485,RU000A10BWL7,2025-06-30,
1486,RU000A10C5Z7,2025-07-24,
1487,RU000A10CFH8,2025-08-15,
1488,RU000A101XD8,2020-07-21,
1489,RU000A106F08,2023-06-27,
1490,RU000A1021F5,2020-08-18,
1491,RU000A102RB2,2021-02-12,
1492,RU000A105591,2022-08-31,
1493,RU000A109KG1,2024-09-19,
1494,RU000A0JWK74,2016-06-10,
1495,RU000A1069Y5,2023-05-25,
1496,RU000A10DJH8,2025-11-20,
1497,RU000A10ARR6,2025-01-29,
1498,RU000A10ECW0,2026-02-25,
1499,RU000A100EV2,2019-06-06,
1500,RU000A102HU3,2020-12-16,
1501,RU000A104US6,2022-06-03,
1502,RU000A106CL4,2023-06-08,
1503,RU000A10BLP1,2025-05-20,
1504,RU000A103NE3,2021-09-09,
1505,RU000A1075R6,2023-11-02,
1506,RU000A10A6U8,2024-11-29,
1507,RU000A10ASD4,2025-01-31,
1508,RU000A103QL1,2021-09-22,
1509,RU000A107DM8,2023-12-14,
1510,RU000A108447,2024-03-29,
1511,RU000A108KT6,2024-05-31,
1512,RU000A109DT9,2024-09-03,
1513,RU000A10CS91,2025-09-19,
1514,RU000A10AYJ9,2025-02-24,
1515,RU000A10E721,2026-02-04,
1516,RU000A102HA5,2020-12-15,
1517,RU000A108RM6,2024-06-21,
1518,RU000A109KV0,2024-09-20,
1519,RU000A10CG79,2025-08-19,
1520,RU000A101616,2019-12-12,
1521,RU000A0ZZ4T1,2018-04-25,
1522,RU000A0JWMZ1,2016-07-15,
1523,RU000A0JWN22,2016-07-18,
1524,RU000A0JWV63,2016-10-05,
1525,RU000A0ZZ505,2018-04-26,
1526,RU000A0ZZY59,2018-12-17,
1527,RU000A0ZZUS8,2018-11-22,
1528,RU000A103N84,2021-09-09,
1529,RU000A1068R1,2023-05-19,
1530,RU000A107S10,2024-02-09,
1531,RU000A106FV6,2023-06-30,
1532,RU000A106CA7,2023-06-07,
1533,RU000A10DFJ2,2025-11-19,
1534,RU000A10EQF5,2026-03-31,
1535,RU000A0ZZVQ0,2018-11-29,
1536,RU000A1006X9,2019-03-25,
1537,RU000A1006Y7,2019-03-25,
1538,RU000A1006Z4,2019-03-25,
1539,RU000A107SG8,2024-02-15,
1540,RU000A10EPV4,2026-03-27,
1541,RU000A109GX4,2024-10-25,
1542,RU000A109H37,2024-11-29,
1543,RU000A10ALQ1,2025-03-04,
1544,RU000A10AW48,2025-10-24,
1545,RU000A10AW55,2025-11-12,
1546,RU000A10AW63,2025-11-19,
1547,RU000A10AW71,2026-01-27,
1548,RU000A10AW89,2026-02-06,
1549,RU000A10AW97,2026-02-06,
1550,RU000A10AWA2,2026-03-16,
1551,RU000A10AWB0,2026-03-27,
1552,RU000A10AWC8,2026-04-09,
1553,RU000A10ALR9,2025-03-28,
1554,RU000A10AWE4,,
1555,RU000A10AWF1,,
1556,RU000A10AWG9,,
1557,RU000A10AWH7,,
1558,RU000A10AWJ3,,
1559,RU000A10AWK1,,
1560,RU000A10AWL9,,
1561,RU000A10AWM7,,
1562,RU000A10AWN5,,
1563,RU000A10ALS7,2025-03-28,
1564,RU000A10ALT5,2025-04-08,
1565,RU000A10ALU3,2025-04-17,
1566,RU000A10ALV1,2025-04-28,
1567,RU000A10ALW9,2025-04-29,
1568,RU000A10ALX7,2025-04-24,
1569,RU000A10ALY5,2025-05-12,
1570,RU000A10ALZ2,2025-05-13,
1571,RU000A109H45,2024-12-16,
1572,RU000A10AM08,2025-05-21,
1573,RU000A10AM16,2025-04-18,
1574,RU000A10AM24,2025-05-29,
1575,RU000A10AM32,2025-05-28,
1576,RU000A10AM40,2025-05-30,
1577,RU000A10AM65,2025-06-10,
1578,RU000A10AM73,2025-06-16,
1579,RU000A10AM81,2025-06-27,
1580,RU000A10AM99,2025-06-20,
1581,RU000A109H52,2024-12-16,
1582,RU000A10AMA3,2025-06-19,
1583,RU000A10AMB1,2025-06-27,
1584,RU000A10AMC9,2025-07-10,
1585,RU000A10AMD7,2025-07-15,
1586,RU000A10AME5,2025-07-23,
1587,RU000A10BKN8,,
1588,RU000A10BK33,,
1589,RU000A10BK41,,
1590,RU000A10BK58,,
1591,RU000A10BK66,,
1592,RU000A109H60,2025-01-15,
1593,RU000A10BK74,,
1594,RU000A10BK82,,
1595,RU000A10BK90,,
1596,RU000A10BKA5,,
1597,RU000A10BKB3,,
1598,RU000A10BWR4,2025-07-25,
1599,RU000A10BWS2,2025-07-24,
1600,RU000A10BWT0,2025-07-15,
1601,RU000A10BWU8,2025-07-24,
1602,RU000A10BWV6,2025-07-24,
1603,RU000A10BWW4,2025-08-04,
1604,RU000A10BWX2,2025-08-12,
1605,RU000A10BWY0,2025-08-15,
1606,RU000A10BWZ7,2025-08-15,
1607,RU000A10BX04,2025-08-22,
1608,RU000A10BX12,2025-08-29,
1609,RU000A10BX20,2025-08-26,
1610,RU000A10BX38,2025-08-15,
1611,RU000A10BX46,2025-08-14,
1612,RU000A109H94,2025-03-31,
1613,RU000A10BX53,2025-08-19,
1614,RU000A10BX61,2025-09-08,
1615,RU000A10BX79,2025-09-15,
1616,RU000A10BX87,2025-09-30,
1617,RU000A10BX95,2025-09-18,
1618,RU000A10BXA8,2025-09-15,
1619,RU000A10BXB6,2025-09-05,
1620,RU000A10BXC4,2025-09-19,
1621,RU000A10BXD2,2025-09-29,
1622,RU000A10BXE0,2025-10-01,
1623,RU000A109HA0,,
1624,RU000A10BXG5,2025-10-10,
1625,RU000A10BXH3,2025-09-30,
1626,RU000A10BXJ9,2025-10-15,
1627,RU000A10BXK7,2025-10-16,
1628,RU000A10CCS2,2025-09-26,
1629,RU000A10CCU8,2025-11-07,
1630,RU000A10CCW4,2025-12-12,
1631,RU000A10CCX2,2025-12-11,
1632,RU000A10CCY0,2025-12-11,
1633,RU000A10CCZ7,2026-01-22,
1634,RU000A10CD64,2026-02-02,
1635,RU000A10CD72,2026-02-05,
1636,RU000A10C956,2026-02-13,
1637,RU000A10C972,2026-02-12,
1638,RU000A10C980,2026-02-17,
1639,RU000A10C998,2026-02-17,
1640,RU000A10C9A2,2026-02-24,
1641,RU000A109HD4,2025-04-10,
1642,RU000A104QM7,2023-04-28,
1643,RU000A10C9B0,2026-02-25,
1644,RU000A104QQ8,2023-06-09,
1645,RU000A10C9C8,2026-03-12,
1646,RU000A10C9D6,2026-03-20,
1647,RU000A10C9E4,2026-04-24,
1648,RU000A10C9F1,2026-04-23,
1649,RU000A103EM5,2021-07-26,
1650,RU000A109HE2,2025-04-11,
1651,RU000A109HF9,2025-04-04,
1652,RU000A104RT0,,
1653,RU000A109HG7,2025-03-26,
1654,RU000A10D1K7,2026-04-23,
1655,RU000A10D1M3,,
1656,RU000A10D1N1,,
1657,RU000A10CA42,2026-02-19,
1658,RU000A10CA59,,
1659,RU000A10CA67,2026-04-20,
1660,RU000A10CA75,2026-05-07,
1661,RU000A10CA83,,
1662,RU000A109HH5,2025-04-30,
1663,RU000A10CA91,,
1664,RU000A10CAA4,,
1665,RU000A10CAB2,,
1666,RU000A10CAC0,,
1667,RU000A10CAD8,,
1668,RU000A109HJ1,2025-04-30,
1669,RU000A10CZD5,2025-10-21,
1670,RU000A10CZE3,2025-10-31,
1671,RU000A10CZF0,2025-10-31,
1672,RU000A10CZG8,2025-10-30,
1673,RU000A10CZH6,2025-11-11,
1674,RU000A10CZJ2,2025-11-17,
1675,RU000A10CZK0,2025-11-05,
1676,RU000A10CZL8,2025-11-14,
1677,RU000A10CZM6,2025-11-21,
1678,RU000A10CZN4,2025-11-28,
1679,RU000A10CZP9,2025-12-12,
1680,RU000A10CZQ7,2025-12-18,
1681,RU000A10CZR5,2025-12-18,
1682,RU000A10CZS3,2025-12-10,
1683,RU000A10CZT1,2025-12-26,
1684,RU000A10CZU9,2025-12-19,
1685,RU000A10CZV7,2025-12-25,
1686,RU000A10CZW5,2026-01-19,
1687,RU000A10CZX3,2026-01-28,
1688,RU000A10CZY1,2026-01-29,
1689,RU000A109HL7,2025-04-21,
1690,RU000A10CZZ8,2026-02-16,
1691,RU000A10D004,2026-02-18,
1692,RU000A10D012,2026-02-09,
1693,RU000A10D020,2026-01-30,
1694,RU000A1050V1,2024-11-22,
1695,RU000A10D038,2026-02-27,
1696,RU000A10D046,2026-03-11,
1697,RU000A10D053,2026-03-19,
1698,RU000A10D061,2026-03-30,
1699,RU000A10D079,2026-04-09,
1700,RU000A10D087,2026-03-30,
1701,RU000A109HM5,2025-04-30,
1702,RU000A10D0B8,2026-03-30,
1703,RU000A10D0C6,2026-03-30,
1704,RU000A10D0D4,2026-03-30,
1705,RU000A10D0E2,2026-03-30,
1706,RU000A10D0F9,2026-03-30,
1707,RU000A10D0G7,2026-04-17,
1708,RU000A109HN3,2025-05-14,
1709,RU000A10D0K9,2026-04-29,
1710,RU000A10D0L7,,
1711,RU000A10D0M5,2026-04-23,
1712,RU000A10D0N3,2026-04-23,
1713,RU000A10D0P8,2026-04-23,
1714,RU000A10D0Q6,2026-05-15,
1715,RU000A10D0R4,,
1716,RU000A10D0S2,,
1717,RU000A10D0T0,,
1718,RU000A10D0U8,,
1719,RU000A10D0V6,,
1720,RU000A10D0W4,,
1721,RU000A1050G2,2025-10-24,
1722,RU000A0NNGT7,,
1723,RU000A0NNGU5,,
1724,RU000A0NNGW1,,
1725,RU000A0NNGX9,,
1726,RU000A0NNGY7,,
1727,RU000A10CX86,2025-10-22,
1728,RU000A10CX94,,
1729,RU000A10CXA6,2025-10-23,
1730,RU000A10CXB4,2025-11-17,
1731,RU000A10CXC2,2025-11-17,
1732,RU000A10CXE8,2025-11-28,
1733,RU000A10CXF5,2025-12-15,
1734,RU000A10CXG3,2025-12-15,
1735,RU000A10CXH1,2025-12-08,
1736,RU000A10CXJ7,2025-12-29,
1737,RU000A0NNHA5,,
1738,RU000A10CXK5,2025-12-29,
1739,RU000A0NNHB3,,
1740,RU000A10CXL3,2025-12-26,
1741,RU000A0NNHC1,,
1742,RU000A10CXM1,2026-01-30,
1743,RU000A10CXN9,2026-01-30,
1744,RU000A10CXP4,2026-01-29,
1745,RU000A10CXR0,2026-02-09,
1746,RU000A10CXS8,2026-02-27,
1747,RU000A10CXT6,2026-03-16,
1748,RU000A10CXU4,2026-03-13,
1749,RU000A10CXV2,2026-03-05,
1750,RU000A10CXW0,2026-03-18,
1751,RU000A10CXX8,2026-03-20,
1752,RU000A10CXY6,2026-04-10,
1753,RU000A10AJS1,2025-05-29,
1754,RU000A10CXZ3,2026-03-27,
1755,RU000A10CY02,,
1756,RU000A10CY10,2026-04-03,
1757,RU000A10CY28,2026-04-09,
1758,RU000A10CY36,2026-05-12,
1759,RU000A10AJT9,,
1760,RU000A10CYG1,2026-05-08,
1761,RU000A10CYH9,2026-05-26,
1762,RU000A10CYJ5,,
1763,RU000A10AJU7,2025-06-16,
1764,RU000A10CYK3,,
1765,RU000A10CYL1,,
1766,RU000A10AJV5,2025-05-30,
1767,RU000A10D830,2025-11-24,
1768,RU000A10D855,2025-11-28,
1769,RU000A10D863,2025-12-11,
1770,RU000A10AJW3,2025-05-30,
1771,RU000A10D889,2025-12-12,
1772,RU000A10D8A3,2025-12-26,
1773,RU000A10D8B1,2025-12-25,
1774,RU000A10D8C9,2026-01-23,
1775,RU000A10D8D7,2026-02-02,
1776,RU000A10D8E5,2026-02-13,
1777,RU000A10D8F2,2026-02-12,
1778,RU000A10D8G0,2026-01-30,
1779,RU000A10D8H8,2026-02-26,
1780,RU000A10AJX1,2025-06-16,
1781,RU000A10D8J4,2026-02-27,
1782,RU000A10D8K2,2026-02-27,
1783,RU000A10D8L0,2026-03-06,
1784,RU000A10D8M8,2026-03-06,
1785,RU000A10D8N6,2026-04-28,
1786,RU000A10AJY9,2025-06-20,
1787,RU000A10D8V9,2026-04-29,
1788,RU000A10D8W7,2026-03-19,
1789,RU000A10D8X5,2026-03-13,
1790,RU000A10D8Y3,2026-03-31,
1791,RU000A10D8Z0,2026-04-13,
1792,RU000A10D905,2026-03-30,
1793,RU000A10D913,2026-03-25,
1794,RU000A10D921,2026-04-06,
1795,RU000A10D939,2026-04-17,
1796,RU000A10D988,2026-04-20,
1797,RU000A10D996,2026-04-14,
1798,RU000A10D9A1,2026-04-21,
1799,RU000A10D9B9,2026-04-22,
1800,RU000A10D9C7,2026-05-07,
1801,RU000A10AK00,2025-06-30,
1802,RU000A10DGB7,,
1803,RU000A10DGC5,,
1804,RU000A10DGD3,,
1805,RU000A10DGE1,,
1806,RU000A10DGF8,,
1807,RU000A10DGG6,,
1808,RU000A10DGH4,,
1809,RU000A10DGJ0,,
1810,RU000A10DGK8,,
1811,RU000A10DGL6,,
1812,RU000A10AK18,2025-06-27,
1813,RU000A106284,2023-04-27,
1814,RU000A10DGX1,,
1815,RU000A10DGY9,,
1816,RU000A10DGZ6,,
1817,RU000A10DH02,,
1818,RU000A10DH10,,
1819,RU000A10DH28,,
1820,RU000A10DH36,,
1821,RU000A10DH44,,
1822,RU000A10DH51,,
1823,RU000A10DH69,,
1824,RU000A10AK34,2025-07-15,
1825,RU000A0NR2K8,2023-05-19,
1826,RU000A0NR2M4,2023-05-31,
1827,RU000A0NR2P7,2023-06-16,
1828,RU000A0NR2Q5,2023-06-29,
1829,RU000A10AK42,2025-07-15,
1830,RU000A0NR2V5,2023-07-17,
1831,RU000A0NR2W3,2023-07-17,
1832,RU000A0NR326,2023-07-28,
1833,RU000A10AK59,2025-07-31,
1834,RU000A0NR3V3,2023-08-15,
1835,RU000A0NR3W1,2023-08-31,
1836,RU000A0NR3Y7,2023-08-28,
1837,RU000A0NR3Z4,2023-08-30,
1838,RU000A10AK67,2025-07-25,
1839,RU000A10DNA5,2026-04-29,
1840,RU000A10AK75,2025-07-31,
1841,RU000A10AK83,2025-07-31,
1842,RU000A10E8Q8,,
1843,RU000A10E8R6,,
1844,RU000A10E8S4,,
1845,RU000A10E8T2,,
1846,RU000A10E8U0,,
1847,RU000A10AK91,,
1848,RU000A10E903,2026-03-06,
1849,RU000A10E911,,
1850,RU000A10E929,,
1851,RU000A10E937,,
1852,RU000A10E952,2026-02-27,
1853,RU000A10E960,2026-02-27,
1854,RU000A10E978,,
1855,RU000A0NR5U0,2024-03-14,
1856,RU000A10E986,,
1857,RU000A10E994,,
1858,RU000A10AKA7,2025-07-24,
1859,RU000A0NR5W6,2024-05-27,
1860,RU000A0NR5X4,2024-08-16,
1861,RU000A0NR5Y2,2024-11-15,
1862,RU000A10AKB5,2025-08-06,
1863,RU000A106JL9,2025-07-25,
1864,RU000A106JM7,2025-06-02,
1865,RU000A106JP0,2025-07-31,
1866,RU000A106JQ8,2025-08-08,
1867,RU000A106JR6,2025-07-30,
1868,RU000A106JS4,2025-08-05,
1869,RU000A10AKC3,2025-08-14,
1870,RU000A106JT2,2025-08-22,
1871,RU000A0NR888,2025-09-25,
1872,RU000A0NR896,2025-09-30,
1873,RU000A0NR8A6,,
1874,RU000A0NR8B4,2026-03-31,
1875,RU000A0NR8C2,,
1876,RU000A0NR8D0,2025-12-08,
1877,RU000A0NR8E8,2026-03-12,
1878,RU000A0NR8F5,,
1879,RU000A0NR8G3,2026-03-17,
1880,RU000A0NR8H1,,
1881,RU000A0NR8J7,,
1882,RU000A10AKF6,2025-08-22,
1883,RU000A10AKG4,2025-08-04,
1884,RU000A0NR938,2023-08-23,
1885,RU000A0NR953,2023-09-28,
1886,RU000A0NR961,2023-09-18,
1887,RU000A10AKH2,2025-08-28,
1888,RU000A0NR9C0,2024-05-28,
1889,RU000A0NR9K3,2024-07-19,
1890,RU000A10AKJ8,2025-08-26,
1891,RU000A0NR9R8,2024-08-27,
1892,RU000A0NR9U2,2024-11-29,
1893,RU000A0NR9V0,2024-11-21,
1894,RU000A0NR9W8,2024-12-10,
1895,RU000A10AKK6,2025-08-08,
1896,RU000A10EYE2,,
1897,RU000A106SV9,2023-09-07,
1898,RU000A10EYK9,,
1899,RU000A10EY67,,
1900,RU000A10EY75,,
1901,RU000A10EY83,,
1902,RU000A10EY91,,
1903,RU000A10EYA0,,
1904,RU000A0NW185,2023-09-29,
1905,RU000A10EYB8,,
1906,RU000A10EYC6,,
1907,RU000A10EYD4,,
1908,RU000A0NW1B2,2023-10-27,
1909,RU000A0NW1C0,2023-10-16,
1910,RU000A0NW1E6,2023-09-22,
1911,RU000A10AKM2,2025-09-15,
1912,RU000A0NW1P2,2023-10-19,
1913,RU000A0NW1S6,2023-11-17,
1914,RU000A10AKN0,2025-09-03,
1915,RU000A10AKP5,2025-09-22,
1916,RU000A0NX4F6,2023-11-30,
1917,RU000A10AKQ3,2025-09-11,
1918,RU000A0NX4U5,2024-02-13,
1919,RU000A10AKS9,2025-09-11,
1920,RU000A10AKT7,2025-09-15,
1921,RU000A109YZ2,2025-04-30,
1922,RU000A109Z01,2025-05-29,
1923,RU000A10AKV3,2025-09-30,
1924,RU000A109Z19,2025-08-28,
1925,RU000A109Z35,2026-02-17,
1926,RU000A109Z43,,
1927,RU000A109Z50,,
1928,RU000A109Z68,,
1929,RU000A109Z76,,
1930,RU000A10AKX9,,
1931,RU000A10AKY7,2025-09-30,
1932,RU000A10AKZ4,2025-10-16,
1933,RU000A107Z86,2024-05-27,
1934,RU000A10AL09,2025-10-13,
1935,RU000A107ZQ2,,
1936,RU000A10AL17,2025-10-31,
1937,RU000A107ZR0,,
1938,RU000A107ZU4,2024-12-16,
1939,RU000A107ZV2,2024-12-16,
1940,RU000A107ZW0,2024-12-20,
1941,RU000A107ZX8,2024-12-16,
1942,RU000A107ZY6,2024-12-05,
1943,RU000A107ZZ3,2024-12-20,
1944,RU000A108009,2024-12-16,
1945,RU000A10AL25,2025-10-22,
1946,RU000A108017,2024-12-25,
1947,RU000A108025,2024-12-27,
1948,RU000A108041,2024-12-27,
1949,RU000A108058,2024-12-27,
1950,RU000A108066,2025-01-24,
1951,RU000A108074,2025-01-24,
1952,RU000A108082,2025-02-24,
1953,RU000A108090,2024-10-30,
1954,RU000A1080A2,2024-10-30,
1955,RU000A1080B0,2024-11-18,
1956,RU000A1080C8,2024-11-18,
1957,RU000A1080D6,2024-11-22,
1958,RU000A109254,2025-02-14,
1959,RU000A109262,2025-03-13,
1960,RU000A109270,2025-04-17,
1961,RU000A109288,2025-04-28,
1962,RU000A109296,2025-06-16,
1963,RU000A1092A7,2025-06-27,
1964,RU000A1092B5,2025-07-15,
1965,RU000A1092E9,,
1966,RU000A1092F6,,
1967,RU000A1092H2,,
1968,RU000A1092J8,,
1969,RU000A109BM8,2025-08-08,
1970,RU000A109BN6,2025-08-15,
1971,RU000A109BP1,2025-08-26,
1972,RU000A109BQ9,2025-08-19,
1973,RU000A109BR7,2025-08-19,
1974,RU000A109BS5,2025-08-29,
1975,RU000A109BT3,2025-11-13,
1976,RU000A109BU1,2025-09-11,
1977,RU000A109BV9,2025-09-11,
1978,RU000A109BW7,2025-09-11,
1979,RU000A109BY3,2025-05-23,
1980,RU000A109BZ0,2025-05-30,
1981,RU000A109C08,2025-06-05,
1982,RU000A109C16,2025-06-24,
1983,RU000A109C24,2025-07-02,
1984,RU000A109C32,2025-07-18,
1985,RU000A109C40,2025-08-06,
1986,RU000A109C57,2025-10-13,
1987,RU000A109C73,2025-07-04,
1988,RU000A109C81,2025-07-09,
1989,RU000A109C99,2025-09-11,
1990,RU000A109CA1,2025-11-14,
1991,RU000A109CC7,2026-05-14,
1992,RU000A109CD5,2026-05-15,
1993,RU000A109CE3,2026-05-13,
1994,RU000A109UA3,2025-02-21,
1995,RU000A109UN6,2024-11-29,
1996,RU000A109UP1,2024-12-18,
1997,RU000A109UT3,2025-05-23,
1998,RU000A109UU1,2025-07-25,
1999,RU000A109V13,2025-08-21,
2000,RU000A109V47,,
2001,RU000A109V54,2026-05-13,
2002,RU000A109V70,,
2003,RU000A10ALK4,2025-02-24,
2004,RU000A109VA1,2025-01-23,
2005,RU000A109VB9,2025-07-11,
2006,RU000A10ALL2,2025-02-27,
2007,RU000A10A5V8,,
2008,RU000A10A620,2025-10-28,
2009,RU000A10ALM0,2025-03-10,
2010,RU000A10A661,,
2011,RU000A10A679,,
2012,RU000A10AVD8,2026-05-07,
2013,RU000A10AVE6,,
2014,RU000A10AVF3,,
2015,RU000A10AVG1,,
2016,RU000A10ALN8,2025-02-28,
2017,RU000A10AVH9,,
2018,RU000A10AVJ5,,
2019,RU000A10AVK3,,
2020,RU000A10AVL1,,
2021,RU000A10AVM9,,
2022,RU000A10AVN7,,
2023,RU000A10AVP2,2025-10-24,
2024,RU000A10AVQ0,,
2025,RU000A10AVR8,,
2026,RU000A10AVS6,,
2027,RU000A10ALP3,2025-03-20,
2028,RU000A10AVT4,,
2029,RU000A10AW06,2025-06-03,
2030,RU000A10AW14,2025-06-05,
2031,RU000A10AW22,2025-06-05,
2032,RU000A106FN3,2023-06-29,
2033,RU000A0JS9X1,2012-06-27,
2034,RU000A0JU9K4,2013-11-07,
2035,RU000A0JV0T3,2014-12-02,
2036,RU000A0JWJF9,2016-06-01,
2037,RU000A0ZZ2W9,2018-04-12,
2038,RU000A107738,2023-11-13,
2039,RU000A107746,2023-11-13,
2040,RU000A10B5C7,2025-03-25,
2041,RU000A1090A1,2024-07-19,
2042,RU000A10BWN3,2025-06-30,
2043,RU000A109DP7,2024-09-02,
2044,RU000A10CUF1,2025-09-29,
2045,RU000A10E5S0,2026-01-26,
2046,RU000A101UY0,2020-08-07,
2047,RU000A0ZYC64,2017-10-11,
2048,RU000A102AH5,2021-03-05,
2049,RU000A10BS68,2025-06-11,
2050,RU000A10CLX3,2025-08-29,
2051,RU000A10D2Y6,2025-10-13,
2052,RU000A105A04,2022-10-05,
2053,RU000A1057D4,2022-09-16,
2054,RU000A105W08,2023-02-22,
2055,RU000A1079S6,2023-11-28,
2056,RU000A0ZYM54,2017-12-27,
2057,XSBORA,2026-04-22,
2058,RU000A1037P0,2021-06-08,
2059,RU000A109QN4,2024-10-04,
2060,RU000A10B354,2025-03-17,
2061,RU000A10D3P2,2025-10-15,
2062,RU000A10BRW4,2025-06-19,
2063,RU000A0JR2C1,2010-12-01,
2064,RU000A0JR290,2010-12-01,
2065,RU000A0JR2A5,2010-12-01,
2066,RU000A0JR282,2010-12-01,
2067,RU000A1000Y0,2020-02-27,
2068,RU000A102PE0,2021-02-19,
2069,RU000A102PF7,2021-02-19,
2070,RU000A102PQ4,2021-06-15,
2071,RU000A108ZB2,2024-08-02,
2072,RU000A109R27,2024-11-13,
2073,RU000A10BM31,2025-06-17,
2074,RU000A107076,2023-10-10,
2075,RU000A107SA1,2024-02-13,
2076,RU000A105M59,2022-12-15,
2077,RU000A10B2F7,2025-03-13,
2078,RU000A105SK4,2023-01-31,
2079,RU000A10C626,2025-07-24,
2080,RU000A10EQD0,2026-03-31,
2081,RU000A1074F4,2023-10-24,
2082,RU000A1079G1,2023-11-28,
2083,RU000A107WD7,2024-03-05,
2084,RU0006922044,2021-07-05,
2085,RU0006922010,2021-07-05,
2086,RU000A0JP799,2021-08-30,
2087,RU000A0JP773,2021-08-30,
2088,RU000A0JVJ29,2021-07-15,
2089,RU000A100EQ2,2021-08-30,
2090,RU000A105TU1,2023-05-15,
2091,RU000A108TT7,2024-07-08,
2092,RU000A10BQP0,2025-07-03,
2093,RU000A104ZU1,2022-07-28,
2094,RU000A107AZ6,2023-12-01,
2095,RU000A107S85,2024-02-13,
2096,RU000A108UJ6,2024-06-27,
2097,RU000A10ADD6,2024-12-18,
2098,RU000A10B461,2025-03-20,
2099,AVAN,2012-07-09,
2100,RU000A0JXGV0,2017-02-14,
2101,RU000A0JVRL2,2015-09-09,
2102,RU000A0JUT85,2014-08-29,
2103,RU000A0JVVL4,2015-10-23,
2104,RU000A0JVM32,2015-07-16,
2105,RU000A0JWM15,2016-06-29,
2106,RU000A102QJ7,2021-02-08,
2107,RU000A102879,2020-10-14,
2108,RU000A102QL3,2021-02-08,
2109,RU000A102887,2020-10-14,
2110,RU000A102QM1,2021-02-08,
2111,RU000A102QN9,2021-02-08,
2112,RU000A1034P7,2021-05-26,
2113,RU000A1034Q5,2021-05-26,
2114,RU000A103S71,,
2115,RU000A103S89,2021-10-04,
2116,RU000A103S97,2021-10-04,
2117,RU000A103SA0,2021-10-04,
2118,RU000A103SB8,2021-10-04,
2119,RU000A1082Q4,2024-03-25,
2120,RU000A103SC6,2021-10-04,
2121,RU000A1082P6,2024-03-25,
2122,RU000A104JW1,2022-02-17,
2123,RU000A1014J2,2019-12-03,
2124,RU000A10F0Z5,2026-04-30,
2125,RU000A10F3C8,2026-05-04,
2126,RU000A10F3T2,2026-05-05,
2127,RU000A10F462,2026-05-06,
2128,RU000A10F4D4,2026-05-07,
2129,RU000A10F4Y0,2026-05-08,
2130,RU000A10F538,2026-05-12,
2131,RU000A103166,2021-10-20,
2132,RU000A103174,2021-12-01,
2133,RU000A1034H4,2023-11-09,
2134,RU000A103TW2,2023-05-31,
2135,RU000A103TX0,2023-05-29,
2136,RU000A103TY8,2023-06-30,
2137,RU000A103TZ5,2023-07-31,
2138,RU000A103U02,2021-11-17,
2139,RU000A103U10,2021-12-22,
2140,RU000A103U28,2022-01-19,
2141,RU000A103U36,2022-02-02,
2142,RU000A103U44,2022-02-16,
2143,RU000A103U51,2023-09-13,
2144,RU000A103XS2,2023-12-20,
2145,RU000A103XT0,2023-12-27,
2146,RU000A103XV6,2024-04-10,
2147,RU000A103XW4,2026-01-27,
2148,RU000A104081,2026-02-17,
2149,RU000A1043Q6,2026-02-20,
2150,RU000A1043R4,2026-03-02,
2151,RU000A1043S2,2026-03-06,
2152,RU000A1043T0,2026-03-11,
2153,RU000A1043P8,2024-03-13,
2154,RU000A104DE2,2025-12-26,
2155,RU000A104DG7,2026-02-10,
2156,RU000A104DH5,2026-04-07,
2157,RU000A104DJ1,2026-02-19,
2158,RU000A104DK9,2026-02-19,
2159,RU000A104DL7,2026-02-25,
2160,RU000A104DN3,2026-03-10,
2161,RU000A104DP8,2026-03-24,
2162,RU000A104DQ6,2026-03-20,
2163,RU000A104DR4,2026-03-31,
2164,RU000A104DS2,2026-04-14,
2165,RU000A106A94,2023-05-29,
2166,RU000A1067N2,2023-05-31,
2167,RU000A106M41,2023-07-27,
2168,RU000A106MQ2,2023-07-31,
2169,RU000A10EFP7,2026-04-15,
2170,RU000A10EFQ5,2026-04-28,
2171,RU000A10EFR3,2026-04-27,
2172,RU000A10EFS1,2026-05-13,
2173,RU000A106U33,2023-09-28,
