,Год,Дивиденд (руб.),Изм. к пред. году,page_url,ticker
5,2018,0.6045,+24.59%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
6,2017,0.4852,-16.46%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
7,2016,0.5808,+109479.25%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
8,2015,0.00053,-96.98%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
9,2014,0.0175,-82.84%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
10,2013,0.1022,-26.35%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
11,2012,0.1388,,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
0,след 12m. (прогноз),0.1604,0%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
1,2024,0.1604,-14.01%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
2,2023,0.1865,-16.39%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
3,2022,0.2231,+24.31%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
4,2021,0.1794,+48.61%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
5,2020,0.1207,-42.51%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
6,2019,0.21,+26.57%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
7,2018,0.1659,+95.65%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
8,2017,0.0848,+49.73%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
9,2016,0.0566,+466.5%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
10,2015,0.01,-75%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
11,2014,0.04,+33.33%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
12,2013,0.03,0%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
13,2012,0.03,+50%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
14,2011,0.02,+58.44%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
15,2010,0.0126,,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
16,2009,0.0,,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
17,2008,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
18,2007,0.0316,,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
19,2006,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
20,2005,0.0382,+75.98%,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
21,2004,0.0217,,https://www.dohod.ru/ik/analytics/dividend/msng,MSNG
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mvid,MVID
