,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. USD",DSI
256,Русал,Металлы и добыча,I полугодие 2024,0.0,0%,42.67,20.10.2024,648 361.91,0.0
257,ТКС Холдинг,Финансы и Банки,II квартал 2024,0.0,0%,2953.0,28.10.2024,588 549.12,0.0
258,Юнипро,Энергетика,годовые 2024,0.0,0%,1.93,13.05.2025,121 873.15,0.0
259,НКНХ-ао,Химия,I полугодие 2024,0.0,0%,96.45,05.12.2024,171 610.44,0.5
260,ТКС Холдинг,Финансы и Банки,I квартал 2024,0.0,0%,2953.0,21.08.2024,588 549.12,0.0
261,Эталон,Строительство,годовые 2023,0.0,0%,80.8,08.07.2024,23 613.96,0.0
262,ОКЕЙ,Розничная торговля,годовые 2024,0.0,0%,29.22,22.06.2025,3 001.15,0.0
263,ВСМПО-АВИСМА,Металлы и добыча,I полугодие 2024,0.0,0%,33780.0,11.10.2024,389 467.79,0.15
264,Юнипро,Энергетика,всего 12м,0.0,0%,1.93,,121 873.15,0.0
265,Полюс,Металлы и добыча,годовые 2024,0.0,0%,12367.5,16.06.2025,1 682 838.30,0.0
266,ЭЛ5-Энерго (Энел Россия),Энергетика,годовые 2024,0.0,0%,0.6088,28.04.2025,21 534.41,0.0
267,Россети Сибирь (МРСК Сибири),Энергетика,годовые 2023,0.0,0%,0.665,24.08.2024,63 052.08,0.0
268,Россети СК (МРСК СК),Энергетика,годовые 2023,0.0,0%,22.8,11.09.2024,47 728.48,0.0
269,Россети Юг (МРСК Юга),Энергетика,годовые 2024,0.0,0%,0.073,19.06.2025,11 062.24,0.0
270,Сегежа,Разное,9 месяцев 2024,0.0,0%,2.98,08.01.2025,46 693.44,0.0
271,Сегежа,Разное,годовые 2024,0.0,0%,2.98,02.06.2025,46 693.44,0.0
272,М.Видео,Розничная торговля,всего 12м,0.0,0%,165.4,,29 733.66,0.0
273,ТКС Холдинг,Финансы и Банки,всего 12м,0.0,0%,2953.0,,588 549.12,0.0
274,Россети Юг (МРСК Юга),Энергетика,всего 12м,0.0,0%,0.073,,11 062.24,0.0
275,ПИК,Строительство,годовые 2024,0.0,0%,885.3,03.06.2025,584 738.30,0.0
276,Лента,Розничная торговля,годовые 2023,0.0,0%,1129.0,07.07.2024,130 947.29,0.0
277,МКБ,Финансы и Банки,годовые 2024,0.0,0%,7.49,07.06.2025,250 254.81,0.0
278,Химпром-п,Химия,9 месяцев 2024,0.0,0%,26.14,17.01.2025,6 002.56,0.2
279,МГТС,Телекомы,годовые 2024,0.0,0%,1460.0,15.05.2025,133 781.53,0.0
280,ФСК Россети,Энергетика,годовые 2024,0.0,0%,0.1072,30.05.2025,226 605.19,0.0
281,ГК Самолет,Строительство,годовые 2023,0.0,0%,3119.5,10.07.2024,192 096.81,0.0
282,Юнипро,Энергетика,9 месяцев 2024,0.0,0%,1.93,17.12.2024,121 873.15,0.0
283,КазаньОргсинтез-ао,Химия,9 месяцев 2024,0.0,0%,106.1,15.12.2024,192 345.05,0.57
284,ПИК,Строительство,I полугодие 2024,0.0,0%,885.3,12.10.2024,584 738.30,0.0
285,ПИК,Строительство,всего 12м,0.0,0%,885.3,,584 738.30,0.0
286,Газпром,Нефть/Газ,II полугодие 2023,0.0,0%,125.88,11.07.2024,6 294 664.38,0.2
287,Газпром,Нефть/Газ,всего 12м,0.0,0%,125.88,,6 294 664.38,0.2
288,Магнит,Розничная торговля,специальные,0.0,0%,6566.5,10.06.2025,669 200.91,0.29
